Start Date (Time Zone: America / Denver),End Date (Time Zone: America / Denver),IP Address,Duration (in seconds),Response ID,RandNum_ID,Location Latitude,Location Longitude,Gender,Age,Education,Work Experience,Race,Race_Other_Text,Kevin_Kelly,What is the salary increase that [] asked for?,How did [] start the conversation?,What was Sean's reasoning for denying []'s request?,"On a scale of 1-10, how aggressive do you feel [] was being in that meeting?","On a scale of 1-10, how aggressive do you feel Sean was being in that meeting?",Did you feel that []'s actions were driven more by internal factors or by external factors?,Did you feel that Sean's actions were driven more by internal factors or by external factors?,Timing - Page Submit
4/2/21 10:28,4/2/21 10:30,108.62.12.109,97,R_yR6iCRNacHN2qTn,4706360,37.75100708,-97.8219986,Female,60+ years old,Master's degree,3-5 years,White,,Kelly,10%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,8,9,Internal factors,Internal factors,33.283
4/2/21 10:32,4/2/21 10:35,54.151.106.55,135,R_1f0XWmcuPWrxxAh,2057526,37.18069458,-121.7870026,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,Black or African American,,Kelly,10%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,8,9,Internal factors,Internal factors,70.114
4/2/21 11:13,4/2/21 11:14,96.46.27.218,76,R_2c7QwFaGbJT2UKH,3147636,47.41619873,-120.2718964,Male,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,6,7,Internal factors,External factors,27.712
4/2/21 11:23,4/2/21 11:24,73.82.175.66,61,R_28TcqZJMZ7Zbwxv,8634135,33.74079895,-84.26319885,Female,18-29 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,10%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,9,Internal factors,External factors,22.585
4/2/21 11:25,4/2/21 11:26,12.198.49.85,57,R_2q8XOXeAwDNku9K,4992099,32.7203064,-117.1551971,Male,30-44 years old,Master's degree,16-20 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,8,6,External factors,External factors,17.882
4/2/21 11:52,4/2/21 11:54,139.171.43.13,87,R_6JZECpcmm0dGRHP,9276757,40.71260071,-74.00659943,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,10%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,10,9,External factors,Internal factors,53.562
4/2/21 15:11,4/2/21 15:13,24.136.8.66,154,R_31SCmLHOVgEWhId,1922770,42.01069641,-87.66570282,Female,18-29 years old,Master's degree,3-5 years,White,,Kelly,10%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,4,6,Internal factors,Internal factors,34.007
4/2/21 19:30,4/2/21 19:31,107.77.196.233,35,R_1JDVPSEJ1WwkSSk,7634211,32.77870178,-96.82170105,Female,45-59 years old,High school graduate (high school diploma or equivalent including GED),6-10 years,Black or African American,,Kelly,10%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,7,4,Internal factors,Internal factors,8.021
4/2/21 21:31,4/2/21 21:32,8.39.235.151,38,R_pQz8KvBe80abl7z,6816067,44.01849365,-121.2984009,Male,30-44 years old,Master's degree,6-10 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,5,8,External factors,Internal factors,17.279
4/3/21 10:59,4/3/21 11:00,66.213.10.215,27,R_1rNa3srs6XtEDW4,6377231,39.19940186,-84.52600098,Female,18-29 years old,Associate degree in college (2-year),1-2 years,Black or African American,,Kelly,10%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,6,7,Internal factors,Internal factors,10.502
4/3/21 21:43,4/3/21 21:46,104.152.190.62,171,R_12SaUyv2U7vR0Qq,9813681,37.75100708,-97.8219986,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,8,9,Internal factors,Internal factors,22.325
4/4/21 0:31,4/4/21 0:33,63.75.253.92,107,R_3EiI5ZSqNwe3QJa,6451026,39.61019897,-75.67469788,Female,30-44 years old,Master's degree,3-5 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,8,9,Internal factors,Internal factors,24.606
4/4/21 10:03,4/4/21 10:04,104.251.94.105,55,R_2SklvI4tDv8niW9,7721436,36.32249451,-114.8197021,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,6,8,Internal factors,Internal factors,23.381
4/5/21 6:36,4/5/21 6:37,63.160.142.12,58,R_1HiSV07zpfUsLtH,7477881,37.75100708,-97.8219986,Male,30-44 years old,Master's degree,1-2 years,Black or African American,,Kelly,10%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,9,10,Internal factors,External factors,27.063
4/2/21 9:57,4/2/21 9:59,50.231.89.102,134,R_yWphY1YK3nkGpWN,8137419,,,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,10%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,6,8,Internal factors,Internal factors,16.116
4/2/21 10:14,4/2/21 10:15,63.75.253.149,91,R_1Cgds0IS0xjwoBf,9247731,,,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,10%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,9,8,Internal factors,External factors,38.673
4/5/21 13:05,4/5/21 13:06,69.61.79.143,82,R_57TKkTV1WWoLAl3,3976387,37.75100708,-97.8219986,Male,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,10%,Got straight to [his/her] request,Does not have the budget for salary increases,3,5,External factors,Internal factors,27.296
4/5/21 22:41,4/5/21 22:41,73.213.83.115,33,R_BFiRqAoz7JRWZXj,9835823,38.80780029,-77.0522995,Male,18-29 years old,Master's degree,3-5 years,Black or African American,,Kelly,10%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,5,8,External factors,Internal factors,13.764
4/6/21 2:24,4/6/21 2:25,198.37.124.147,53,R_1i8vpKZs8TJmgby,2021834,32.81370544,-96.87039948,Female,18-29 years old,Master's degree,1-2 years,White,,Kelly,10%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,6,3,Internal factors,External factors,21.051
4/2/21 9:55,4/2/21 9:56,158.101.13.209,32,R_RLwqRyWIP6JNmEx,8131310,33.46560669,-111.9955978,Male,18-29 years old,Master's degree,3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,6,7,Internal factors,Internal factors,15.12
4/2/21 9:55,4/2/21 9:56,72.68.206.207,101,R_2vcvKqbWuvp5eQh,5255193,40.72439575,-73.64839935,Female,18-29 years old,Bachelor's degree in college (4-year),1-2 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,0,Internal factors,External factors,75.289
4/2/21 9:55,4/2/21 9:57,45.90.222.18,99,R_3DeA6V1D4yIuH8j,7045058,34.05439758,-118.2440033,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,10,9,External factors,Internal factors,27.025
4/2/21 9:55,4/2/21 9:57,192.181.162.135,137,R_31achhj2s3YMhnq,6644557,39.3480072,-84.11630249,Female,18-29 years old,Bachelor's degree in college (4-year),1-2 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,7,Internal factors,External factors,116.867
4/2/21 9:55,4/2/21 9:57,205.145.233.120,126,R_22PNpP57MKUG9z0,9000360,30.00349426,-82.38279724,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,5,Internal factors,External factors,106.634
4/2/21 9:55,4/2/21 9:57,47.218.92.80,150,R_1Os2o2JvFKCkvUJ,9422084,30.54780579,-96.27149963,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,3,Internal factors,External factors,87.159
4/2/21 9:55,4/2/21 9:57,73.205.47.12,150,R_02lAxlMJLPdPpNn,5148874,26.21339417,-80.22389984,Female,60+ years old,High school graduate (high school diploma or equivalent including GED),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,7,External factors,External factors,120.889
4/2/21 9:55,4/2/21 9:58,108.234.235.187,129,R_1I5ajztdnSdtdl5,7346648,29.6914978,-95.04740143,Female,30-44 years old,High school graduate (high school diploma or equivalent including GED),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,6,Internal factors,External factors,105.043
4/2/21 9:55,4/2/21 9:58,71.80.21.46,162,R_1C8e0RSviIzsBgJ,7971642,35.72920227,-84.34359741,Female,18-29 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,5,Internal factors,Internal factors,140.47
4/2/21 9:55,4/2/21 9:59,216.172.124.132,239,R_2YslroZ3hWZQzpa,9318270,48.11909485,-96.18109894,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,3,External factors,External factors,211.243
4/2/21 9:55,4/2/21 9:59,172.88.94.161,255,R_PLPRAjv7DDky1k5,3167317,33.75180054,-117.9931946,Male,30-44 years old,Associate degree in college (2-year),11-15 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,8,Internal factors,Internal factors,204.722
4/2/21 9:55,4/2/21 10:00,63.75.253.31,293,R_QmnSDLGAy7G4moF,2188986,39.61019897,-75.67469788,Male,18-29 years old,Master's degree,3-5 years,White,,Kelly,15%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,7,6,External factors,Internal factors,229.075
4/2/21 9:57,4/2/21 10:00,63.75.253.218,167,R_3hmyQmDeeAwsBsX,4306236,39.61019897,-75.67469788,Female,18-29 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,10,10,Internal factors,External factors,119.614
4/2/21 9:55,4/2/21 10:00,208.203.212.36,346,R_32PfAZuDbcmNtit,7429309,39.98449707,-75.58599854,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,7,10,Internal factors,External factors,306.468
4/2/21 9:57,4/2/21 10:01,73.31.225.45,202,R_3jVbaosiADTLXr8,8227389,37.55029297,-77.39420319,Female,30-44 years old,High school graduate (high school diploma or equivalent including GED),11-15 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,10,Internal factors,Internal factors,186.265
4/2/21 9:59,4/2/21 10:01,174.233.5.236,112,R_xGfHEcQM3P1m8iR,3627179,39.11909485,-84.34899902,Male,18-29 years old,High school graduate (high school diploma or equivalent including GED),1-2 years,"White,Black or African American",,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,5,Internal factors,Internal factors,73.693
4/2/21 10:00,4/2/21 10:01,76.170.37.178,75,R_1IYi7UGCDPNFSZz,3794957,33.99549866,-118.4644012,Male,18-29 years old,Master's degree,3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,6,8,External factors,Internal factors,13.797
4/2/21 9:58,4/2/21 10:01,98.149.74.82,188,R_1QiSRBYEuuqDpbm,7679732,33.8000946,-117.9949036,Female,45-59 years old,Bachelor's degree in college (4-year),11-15 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,2,Internal factors,External factors,159.098
4/2/21 9:57,4/2/21 10:02,76.239.47.254,291,R_22rdGhFaXPB3giw,8692749,41.03819275,-81.35900116,Male,60+ years old,High school graduate (high school diploma or equivalent including GED),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,1,8,External factors,Internal factors,252.863
4/2/21 9:55,4/2/21 10:02,184.21.206.119,376,R_0kfgsvdzdBFXBct,6220578,46.7960968,-122.8672028,Female,60+ years old,Less than high school degree,21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,10,External factors,Internal factors,315.906
4/2/21 10:00,4/2/21 10:02,8.44.142.125,119,R_2nN8pturfzogXM5,8752059,37.75100708,-97.8219986,Female,45-59 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,8,5,Internal factors,External factors,32.636
4/2/21 9:57,4/2/21 10:02,97.117.133.163,290,R_2dSxxjtxJCfVgyr,2620143,40.70370483,-111.8094025,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recognized the entire team for their support,[]'s performance doesn't warrant a raise,8,7,Internal factors,External factors,204.8
4/2/21 9:58,4/2/21 10:02,75.189.6.90,267,R_OjpUHCl1przcdgJ,2074048,33.94160461,-80.32029724,Female,30-44 years old,Associate degree in college (2-year),6-10 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,5,Internal factors,External factors,215.98
4/2/21 9:58,4/2/21 10:03,70.127.142.215,256,R_cIvmocdpbr3dwlP,8261061,27.90280151,-82.71530151,Female,60+ years old,High school graduate (high school diploma or equivalent including GED),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,4,Internal factors,External factors,226.216
4/2/21 10:00,4/2/21 10:03,174.204.12.151,147,R_2zU8NdvvYZa1BGs,8617050,40.65710449,-111.8342972,Prefer not to say,Prefer not to say,High school graduate (high school diploma or equivalent including GED),6-10 years,Other,Prefer not to say,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,0,Internal factors,External factors,90.768
4/2/21 10:00,4/2/21 10:03,185.232.22.107,191,R_2SB4ckmi8IhlQ9Y,8094422,40.71569824,-74,Female,30-44 years old,Bachelor's degree in college (4-year),11-15 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,2,Internal factors,Internal factors,163.562
4/2/21 9:59,4/2/21 10:03,72.79.144.139,213,R_1GO0qTe8104CgaC,7682643,41.31970215,-75.85410309,Male,30-44 years old,Associate degree in college (2-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,1,Internal factors,Internal factors,169.39
4/2/21 9:59,4/2/21 10:03,98.223.82.255,276,R_2QFAjmm6UnbePVE,9751680,41.70329285,-87.82980347,Male,18-29 years old,High school graduate (high school diploma or equivalent including GED),1-2 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,1,Internal factors,External factors,246.972
4/2/21 10:01,4/2/21 10:04,104.222.17.33,171,R_2rjAh17yeVlqBLY,1704145,33.93319702,-83.35359955,Male,18-29 years old,Associate degree in college (2-year),1-2 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,9,Internal factors,Internal factors,107.717
4/2/21 10:01,4/2/21 10:04,76.190.185.203,171,R_28FJUSxOHlrLCpk,2655194,41.7059021,-81.1996994,Female,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,2,Internal factors,Internal factors,107.465
4/2/21 10:02,4/2/21 10:04,98.7.14.246,106,R_511GpD1CH3MOde9,8241350,40.7960968,-73.95130157,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,6,8,Internal factors,Internal factors,36.015
4/2/21 10:00,4/2/21 10:05,98.213.190.92,267,R_AtEiOva0EVmjHWh,2417138,42.25779724,-89.02610016,Male,45-59 years old,High school graduate (high school diploma or equivalent including GED),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,6,External factors,Internal factors,185.304
4/2/21 10:03,4/2/21 10:05,24.214.179.162,160,R_efBdoW0SWnQ4BS9,4043551,42.01280212,-88.09670258,Female,30-44 years old,Master's degree,21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,9,Internal factors,External factors,138.421
4/2/21 9:57,4/2/21 10:05,63.160.143.91,519,R_1C7nmf59JonL5zT,6656791,37.75100708,-97.8219986,Female,18-29 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,8,Internal factors,External factors,467.08
4/2/21 10:04,4/2/21 10:06,172.56.17.81,112,R_3HI8RuzZ6gDtuFZ,5413275,33.96749878,-118.1464005,Male,30-44 years old,Bachelor's degree in college (4-year),21+ years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,8,Internal factors,External factors,84.303
4/2/21 10:03,4/2/21 10:06,72.128.43.112,204,R_3KxfIzZMCf4Trrl,5670045,39.14720154,-94.78739929,Male,30-44 years old,Associate degree in college (2-year),16-20 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,8,External factors,Internal factors,182.444
4/2/21 10:04,4/2/21 10:07,136.56.8.87,181,R_2S8JItFRs4K3mIV,2670364,35.80470276,-78.88809967,Female,30-44 years old,Bachelor's degree in college (4-year),1-2 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,2,Internal factors,Internal factors,149.941
4/2/21 10:07,4/2/21 10:08,216.81.81.80,90,R_V51Z0FqLNqGooQp,7983361,37.75100708,-97.8219986,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,3,Internal factors,Internal factors,72.372
4/2/21 10:00,4/2/21 10:08,64.227.13.38,514,R_3e52TeM6VYPTakk,3201853,40.79299927,-74.02469635,Female,18-29 years old,Bachelor's degree in college (4-year),6-10 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,6,Internal factors,Internal factors,243.338
4/2/21 10:04,4/2/21 10:10,63.75.250.215,328,R_DeGSCF1yoQtbANb,2350481,39.61019897,-75.67469788,Male,30-44 years old,Master's degree,3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,10,9,External factors,External factors,280.011
4/2/21 10:03,4/2/21 10:10,45.61.151.225,404,R_2wsjJxjyFFKAgkG,3897455,41.5,-81.69380188,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,7,Internal factors,External factors,348.405
4/2/21 10:07,4/2/21 10:11,63.160.143.172,226,R_1eyhr07BnXfEdHS,4715039,37.75100708,-97.8219986,Male,30-44 years old,Master's degree,3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,6,External factors,Internal factors,175.954
4/2/21 10:06,4/2/21 10:11,191.96.97.58,315,R_2ydVN2rKbDidl9x,3360631,41.84829712,-87.65170288,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,Black or African American,,Kelly,15%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,7,10,Internal factors,External factors,257.338
4/2/21 10:11,4/2/21 10:12,71.81.131.250,72,R_2v1W6bCZC2duNp3,6836339,38.4539032,-90.32800293,Female,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,[]'s performance doesn't warrant a raise,10,9,Internal factors,Internal factors,17.661
4/2/21 10:10,4/2/21 10:14,54.144.209.174,263,R_3pfryKznE1LORcy,2835356,39.0480957,-77.47280121,Male,30-44 years old,Master's degree,6-10 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,7,8,Internal factors,External factors,77.407
4/2/21 10:11,4/2/21 10:16,173.92.80.131,302,R_AgmqgFWhyLCAS9b,2792326,35.12930298,-80.86399841,Male,18-29 years old,Master's degree,3-5 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,1,Internal factors,External factors,117.517
4/2/21 10:16,4/2/21 10:17,107.11.132.216,50,R_3EsOu3uejjUuZz6,3768595,39.3526001,-83.38880157,Female,30-44 years old,High school graduate (high school diploma or equivalent including GED),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,9,10,Internal factors,Internal factors,24.722
4/2/21 10:11,4/2/21 10:17,24.237.158.238,356,R_1lnTR0kNZtC32A3,2619724,61.20489502,-149.8096008,Female,60+ years old,Bachelor's degree in college (4-year),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,7,External factors,External factors,265.198
4/2/21 10:13,4/2/21 10:18,147.126.51.41,263,R_2rlsftDH00EHZyp,1021369,41.87339783,-87.81069946,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,7,Internal factors,Internal factors,235.607
4/2/21 10:15,4/2/21 10:19,174.68.177.20,217,R_3jXJ3EevQBGVGtb,8707497,36.24729919,-115.2820969,Female,30-44 years old,Bachelor's degree in college (4-year),16-20 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,7,Internal factors,Internal factors,173.718
4/2/21 10:15,4/2/21 10:19,162.202.24.112,250,R_7P1m6iTNSc4OTL3,4287010,38.81210327,-94.53399658,Female,60+ years old,High school graduate (high school diploma or equivalent including GED),21+ years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,6,Internal factors,Internal factors,224.065
4/2/21 10:14,4/2/21 10:20,75.169.143.243,367,R_1dFxboonEfD6z3S,5054329,40.56719971,-111.8639984,Female,45-59 years old,Bachelor's degree in college (4-year),6-10 years,Asian,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,10,4,External factors,Internal factors,317.032
4/2/21 10:01,4/2/21 10:05,198.37.124.157,275,R_1qaLiDYWaDX9cZ3,3229364,32.81370544,-96.87039948,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kelly,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,7,Internal factors,Internal factors,156.714
